id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,otg,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,41,1,24,16,8,1,7,7,0,5,1,1,
3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,142,1,59,82,23,1,22,37,11,9,1,16,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,51,1,18,32,14,2,12,6,2,1,0,3,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,52,0,35,17,8,0,8,8,2,4,0,2,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,238,2,88,148,47,1,46,72,8,19,4,41,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,75,1,23,51,9,0,9,14,4,4,0,6,
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,222,3,47,172,16,1,15,29,6,6,0,17,
3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,48,2,19,27,15,1,14,20,5,4,2,9,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,119,4,58,57,36,0,36,26,4,7,0,15,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,128,2,47,79,25,0,25,19,5,7,0,7,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,182,1,19,162,15,1,14,31,9,8,0,14,
3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,74,2,23,49,15,1,14,14,5,6,2,1,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,63,1,24,38,20,0,20,8,1,4,0,3,
3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,112,0,36,76,18,2,16,21,5,3,5,8,
