id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,39,0,0,1,38,0,0,0,0,3,0,3,40,6,34,0,0,0,8,0,3,2,3,
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,92,3,20,0,69,0,0,0,0,7,0,7,129,3,126,0,0,0,18,1,13,1,3,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,164,9,1,1,153,0,0,0,0,0,0,0,271,31,240,14,0,14,53,2,42,1,8,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,107,1,0,0,106,1,0,0,1,0,0,0,279,19,260,18,0,18,46,1,34,2,9,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,160,8,0,4,148,0,0,0,0,10,0,10,403,72,331,21,0,21,76,3,52,5,16,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,58,3,11,0,44,0,0,0,0,0,0,0,120,19,101,7,0,7,13,3,5,0,5,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,124,8,0,1,115,0,0,0,0,0,0,0,154,26,128,10,0,10,38,6,25,0,7,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,143,4,5,0,134,1,0,0,1,1,0,1,421,23,398,8,0,8,33,1,23,3,6,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,109,2,0,1,106,0,0,0,0,15,0,15,242,23,219,2,0,2,35,1,29,2,3,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,86,3,4,2,77,0,0,0,0,15,0,15,272,19,253,13,0,13,38,1,35,0,2,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,173,10,9,1,153,0,0,0,0,10,3,7,348,46,302,47,0,47,126,4,54,1,67,
